"Plot Title:  10884549"
"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 10884549, SEN S/N: 10884549)","RH, % (LGR S/N: 10884549, SEN S/N: 10884549)"
1,18-05-09,13:22:50,79.524,49.852
2,18-05-09,13:27:50,80.802,48.724
3,18-05-09,13:32:50,81.909,47.899
4,18-05-09,13:37:50,82.308,46.046
5,18-05-09,13:42:50,80.625,48.003
6,18-05-09,13:47:50,79.700,48.582
7,18-05-09,13:52:50,79.480,49.208
8,18-05-09,13:57:50,79.480,50.392
9,18-05-09,14:02:50,79.128,49.887
10,18-05-09,14:07:50,78.996,49.045
11,18-05-09,14:12:50,79.743,46.780
12,18-05-09,14:17:50,79.831,48.976
13,18-05-09,14:22:50,80.845,44.125
14,18-05-09,14:27:50,81.154,43.492
15,18-05-09,14:32:50,80.272,45.325
16,18-05-09,14:37:50,79.876,45.688
17,18-05-09,14:42:50,80.051,47.512
18,18-05-09,14:47:50,81.952,44.785
19,18-05-09,14:52:50,82.575,43.189
20,18-05-09,14:57:50,83.242,39.001
21,18-05-09,15:02:50,82.753,35.701
22,18-05-09,15:07:50,81.466,39.031
23,18-05-09,15:12:50,82.530,44.528
24,18-05-09,15:17:50,83.601,43.976
25,18-05-09,15:22:50,83.959,41.893
26,18-05-09,15:27:50,84.362,41.752
27,18-05-09,15:32:50,83.154,45.386
28,18-05-09,15:37:50,82.175,43.524
29,18-05-09,15:42:50,81.687,44.604
30,18-05-09,15:47:50,81.111,45.055
31,18-05-09,15:52:50,81.597,44.761
32,18-05-09,15:57:50,83.377,42.812
33,18-05-09,16:02:50,83.736,39.362
34,18-05-09,16:07:50,84.587,38.144
35,18-05-09,16:12:50,84.407,36.461
36,18-05-09,16:17:50,85.172,35.863
37,18-05-09,16:22:50,85.442,35.978
38,18-05-09,16:27:50,85.487,35.577
39,18-05-09,16:32:50,85.262,35.093
40,18-05-09,16:37:50,85.894,34.721
41,18-05-09,16:42:50,85.712,34.509
42,18-05-09,16:47:50,86.119,32.699
43,18-05-09,16:52:50,85.262,33.539
44,18-05-09,16:57:50,85.082,34.071
45,18-05-09,17:02:50,85.397,34.290
46,18-05-09,17:07:50,85.802,34.277
47,18-05-09,17:12:50,86.074,34.155
48,18-05-09,17:17:50,85.894,35.531
49,18-05-09,17:22:50,84.945,34.199
50,18-05-09,17:27:50,84.767,34.460
51,18-05-09,17:32:50,84.362,34.844
52,18-05-09,17:37:50,84.857,34.262
53,18-05-09,17:42:50,84.722,34.795
54,18-05-09,17:47:50,84.587,35.327
55,18-05-09,17:52:50,84.900,33.724
56,18-05-09,17:57:50,84.767,36.413
57,18-05-09,18:02:50,84.137,39.585
58,18-05-09,18:07:50,83.646,39.390
59,18-05-09,18:12:50,84.137,35.102
60,18-05-09,18:17:50,84.094,36.846
61,18-05-09,18:22:50,84.722,37.818
62,18-05-09,18:27:50,84.677,34.860
63,18-05-09,18:32:50,85.082,31.560
64,18-05-09,18:37:50,84.722,31.577
65,18-05-09,18:42:50,84.722,32.596
66,18-05-09,18:47:50,84.542,32.350
67,18-05-09,18:52:50,83.914,32.726
68,18-05-09,18:57:50,83.914,32.828
69,18-05-09,19:02:50,83.467,32.975
70,18-05-09,19:07:50,83.422,33.142
71,18-05-09,19:12:50,83.467,32.162
72,18-05-09,19:17:50,83.556,31.148
73,18-05-09,19:22:50,82.886,31.456
74,18-05-09,19:27:50,82.665,31.988
75,18-05-09,19:32:50,81.864,39.121
76,18-05-09,19:37:50,81.466,41.871
77,18-05-09,19:42:50,81.244,43.824
78,18-05-09,19:47:50,80.845,45.038
79,18-05-09,19:52:50,80.316,45.231
80,18-05-09,19:57:50,80.008,46.151
81,18-05-09,20:02:50,79.655,46.548
82,18-05-09,20:07:50,79.128,47.544
83,18-05-09,20:12:50,79.041,47.506
84,18-05-09,20:17:50,78.690,47.996
85,18-05-09,20:22:50,78.339,48.998
86,18-05-09,20:27:50,78.208,49.565
87,18-05-09,20:32:50,77.815,49.791
88,18-05-09,20:37:50,77.378,50.238
89,18-05-09,20:42:50,77.335,50.521
90,18-05-09,20:47:50,77.160,51.334
91,18-05-09,20:52:50,76.811,52.068
92,18-05-09,20:57:50,76.550,52.617
93,18-05-09,21:02:50,76.507,52.519
94,18-05-09,21:07:50,76.464,53.399
95,18-05-09,21:12:50,76.246,54.482
96,18-05-09,21:17:50,75.767,56.194
97,18-05-09,21:22:50,75.681,56.249
98,18-05-09,21:27:50,75.463,54.733
99,18-05-09,21:32:50,75.376,55.538
100,18-05-09,21:37:50,75.204,55.430
101,18-05-09,21:42:50,75.029,55.167
102,18-05-09,21:47:50,74.943,56.375
103,18-05-09,21:52:50,74.770,56.858
104,18-05-09,21:57:50,74.943,56.188
105,18-05-09,22:02:50,74.683,57.719
106,18-05-09,22:07:50,74.597,58.051
107,18-05-09,22:12:50,74.597,56.378
108,18-05-09,22:17:50,74.640,55.291
109,18-05-09,22:22:50,74.683,56.292
110,18-05-09,22:27:50,74.597,55.038
111,18-05-09,22:32:50,74.511,54.750
112,18-05-09,22:37:50,74.381,55.395
113,18-05-09,22:42:50,74.381,55.270
114,18-05-09,22:47:50,74.338,55.828
115,18-05-09,22:52:50,74.077,55.900
116,18-05-09,22:57:50,73.947,57.378
117,18-05-09,23:02:50,74.120,57.486
118,18-05-09,23:07:50,74.034,57.107
119,18-05-09,23:12:50,74.034,56.797
120,18-05-09,23:17:50,74.640,55.603
121,18-05-09,23:22:50,74.727,55.579
122,18-05-09,23:27:50,74.511,55.997
123,18-05-09,23:32:50,73.818,57.831
124,18-05-09,23:37:50,74.034,57.138
125,18-05-09,23:42:50,73.861,56.534
126,18-05-09,23:47:50,73.904,56.507
127,18-05-09,23:52:50,74.077,56.490
128,18-05-09,23:57:50,74.206,56.935
129,18-05-10,00:02:50,74.338,56.045
130,18-05-10,00:07:50,74.511,56.091
131,18-05-10,00:12:50,74.295,56.508
132,18-05-10,00:17:50,74.250,56.753
133,18-05-10,00:22:50,73.990,57.227
134,18-05-10,00:27:50,74.295,56.632
135,18-05-10,00:32:50,74.163,56.963
136,18-05-10,00:37:50,74.077,56.862
137,18-05-10,00:42:50,74.077,57.017
138,18-05-10,00:47:50,74.163,57.118
139,18-05-10,00:52:50,74.338,56.667
140,18-05-10,00:57:50,74.163,56.932
141,18-05-10,01:02:50,74.295,56.973
142,18-05-10,01:07:50,74.163,57.118
143,18-05-10,01:12:50,74.338,56.698
144,18-05-10,01:17:50,74.424,55.897
145,18-05-10,01:22:50,74.511,55.655
146,18-05-10,01:27:50,74.381,55.364
147,18-05-10,01:32:50,74.077,55.838
148,18-05-10,01:37:50,74.120,55.592
149,18-05-10,01:42:50,73.904,55.792
150,18-05-10,01:47:50,73.472,56.347
151,18-05-10,01:52:50,73.213,56.976
152,18-05-10,01:57:50,72.955,57.480
153,18-05-10,02:02:50,72.523,58.584
154,18-05-10,02:07:50,72.264,59.114
155,18-05-10,02:12:50,71.877,59.693
156,18-05-10,02:17:50,72.007,60.041
157,18-05-10,02:22:50,71.920,60.247
158,18-05-10,02:27:50,71.620,60.282
159,18-05-10,02:32:50,71.190,61.096
160,18-05-10,02:37:50,70.974,61.503
161,18-05-10,02:42:50,71.060,61.146
162,18-05-10,02:47:50,70.759,61.514
163,18-05-10,02:52:50,70.587,61.953
164,18-05-10,02:57:50,70.372,62.357
165,18-05-10,03:02:50,70.286,63.134
166,18-05-10,03:07:50,70.201,63.246
167,18-05-10,03:12:50,70.201,63.698
168,18-05-10,03:17:50,70.115,64.141
169,18-05-10,03:22:50,69.771,65.097
170,18-05-10,03:27:50,69.514,65.670
171,18-05-10,03:32:50,69.643,65.742
172,18-05-10,03:37:50,69.427,66.079
173,18-05-10,03:42:50,68.999,66.632
174,18-05-10,03:47:50,68.871,67.272
175,18-05-10,03:52:50,68.698,68.054
176,18-05-10,03:57:50,68.913,67.572
177,18-05-10,04:02:50,69.427,67.446
178,18-05-10,04:07:50,69.343,67.526
179,18-05-10,04:12:50,68.999,67.877
180,18-05-10,04:17:50,68.185,69.298
181,18-05-10,04:22:50,67.199,71.504
182,18-05-10,04:27:50,66.429,73.563
183,18-05-10,04:32:50,65.916,74.913
184,18-05-10,04:37:50,65.701,75.375
185,18-05-10,04:42:50,65.916,75.399
186,18-05-10,04:47:50,66.000,74.837
187,18-05-10,04:52:50,65.916,75.142
188,18-05-10,04:57:50,65.403,75.827
189,18-05-10,05:02:50,65.059,76.499
190,18-05-10,05:07:50,64.974,77.170
191,18-05-10,05:12:50,64.760,77.570
192,18-05-10,05:17:50,64.632,77.950
193,18-05-10,05:22:50,64.974,78.328
194,18-05-10,05:27:50,64.888,77.782
195,18-05-10,05:32:50,64.888,78.234
196,18-05-10,05:37:50,65.059,78.056
197,18-05-10,05:42:50,64.717,78.073
198,18-05-10,05:47:50,64.546,78.363
199,18-05-10,05:52:50,64.375,78.849
200,18-05-10,05:57:50,64.288,79.092
201,18-05-10,06:02:50,64.288,79.036
202,18-05-10,06:07:50,64.117,79.156
203,18-05-10,06:12:50,63.946,79.584
204,18-05-10,06:17:50,63.819,80.099
205,18-05-10,06:22:50,63.990,80.232
206,18-05-10,06:27:50,63.946,79.863
207,18-05-10,06:32:50,63.990,80.064
208,18-05-10,06:37:50,63.990,80.483
209,18-05-10,06:42:50,64.033,80.655
210,18-05-10,06:47:50,63.946,80.700
211,18-05-10,06:52:50,63.946,81.257
212,18-05-10,06:57:50,63.862,81.691
213,18-05-10,07:02:50,64.074,81.800
214,18-05-10,07:07:50,64.632,81.674
215,18-05-10,07:12:50,64.931,80.987
216,18-05-10,07:17:50,65.188,80.515
217,18-05-10,07:22:50,65.530,79.940
218,18-05-10,07:27:50,65.829,79.386
219,18-05-10,07:32:50,66.214,78.755
220,18-05-10,07:37:50,66.643,77.617
221,18-05-10,07:42:50,66.900,77.107
222,18-05-10,07:47:50,67.242,76.405
223,18-05-10,07:52:50,67.627,75.419
224,18-05-10,07:57:50,68.099,74.868
